"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2123","Validar integracion de la tasa de cambio","","2026-07-16","failed","2026-07-16","","Requests al backend del Ecommerce","Validar integracion de la tasa de cambio",""
"","1836","Obtener los datos propios de un cliente autenticado","","2026-07-16","passed","2026-07-16","","Requests al backend del Ecommerce","Obtener los datos propios de un cliente autenticado",""
"","2784","Visualizar el carrito al hacer click en el icono","","2026-07-16","passed","2026-07-16","","Home del Ecommerce","Visualizar el carrito al hacer click en el icono",""
"","8847","Consultar estado de la base de datos","","2026-07-16","passed","2026-07-16","","Requests al backend del Ecommerce","Consultar estado de la base de datos",""
"","33165","Navegar a la pagina de un producto recomendado desde el home","","2026-07-16","failed","2026-07-16","","Home del Ecommerce","Navegar a la pagina de un producto recomendado desde el home",""
"","12726","Agregar un producto al carrito desde el home","","2026-07-16","broken","2026-07-16","","Home del Ecommerce","Agregar un producto al carrito desde el home",""
"","2614","Al cambiar de pagina el usuario debe estar al inicio de la pagina","","2026-07-16","failed","2026-07-16","","Home del Ecommerce","Al cambiar de pagina el usuario debe estar al inicio de la pagina",""
"","2012","Autenticarme como un cliente","","2026-07-16","passed","2026-07-16","","Requests al backend del Ecommerce","Autenticarme como un cliente",""
"","748","Consultar el estado de los códigos de descuento","","2026-07-16","passed","2026-07-16","","Requests al backend del Ecommerce","Consultar el estado de los códigos de descuento",""
"","12573","Visualizar el carrito al hacer click en el icono","","2026-07-16","broken","2026-07-16","","Home del Ecommerce","Visualizar el carrito al hacer click en el icono",""
"","1489","Comprobar el estado de los componentes","","2026-07-16","passed","2026-07-16","","Requests al backend del Ecommerce","Comprobar el estado de los componentes",""
"","2978","Validar que el home carga correctamente","","2026-07-16","passed","2026-07-16","","Home del Ecommerce","Validar que el home carga correctamente",""
"","2113","Registrar un cliente nuevo exitosamente","","2026-07-16","passed","2026-07-16","","Requests al backend del Ecommerce","Registrar un cliente nuevo exitosamente",""
"","2342","Validar que el boton de buscar por foto no sustituya al de agregar al carrito","","2026-07-16","failed","2026-07-16","","Home del Ecommerce","Validar que el boton de buscar por foto no sustituya al de agregar al carrito",""
"","902","Consultar el estado de los códigos de descuento","","2026-07-16","passed","2026-07-16","","Requests al backend del Ecommerce","Consultar el estado de los códigos de descuento",""
