"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"1","","0","Home del Ecommerce","0","0","Al cambiar de pagina el usuario debe estar al inicio de la pagina","0"
"0","","1","Requests al backend del Ecommerce","0","0","Comprobar el health ready del sistema","0"
"0","","1","Requests al backend del Ecommerce","1","0","Consultar el estado de los códigos de descuento","0"
"0","","0","Home del Ecommerce","1","0","Validar que el home carga correctamente","0"
"0","","1","Requests al backend del Ecommerce","0","0","Obtener los datos propios de un cliente autenticado","0"
"1","","0","Home del Ecommerce","1","0","Visualizar el carrito al hacer click en el icono","0"
"0","","0","Requests al backend del Ecommerce","1","0","Consultar el endpoint root","0"
"0","","0","Requests al backend del Ecommerce","1","0","Comprobar el health live del sistema","0"
"0","","0","Requests al backend del Ecommerce","1","0","Consultar el detalle de un producto existente de forma publica","0"
"0","","1","Requests al backend del Ecommerce","0","0","Obtener los datos propios de un administrador autenticado","0"
"0","","0","Requests al backend del Ecommerce","1","0","Listar productos del catalogo publico con paginacion","0"
"0","","0","Requests al backend del Ecommerce","1","0","Listar los principios activos disponibles","0"
"0","","0","Requests al backend del Ecommerce","1","0","Autenticarme como un cliente","0"
"0","","0","Requests al backend del Ecommerce","1","0","Rechazar consulta de perfil con token inválido","0"
"0","","0","Requests al backend del Ecommerce","1","0","Comprobar el health de integración","0"
"1","","0","Home del Ecommerce","0","0","Navegar a la pagina de un producto recomendado desde el home","0"
"1","","0","Requests al backend del Ecommerce","0","0","Listar el log de auditoria de ventas como administrador","0"
"0","","0","Requests al backend del Ecommerce","1","0","Listar todos los productos del catalogo como administrador","0"
"0","","0","Requests al backend del Ecommerce","1","0","Registrar un cliente nuevo exitosamente","0"
"0","","0","Requests al backend del Ecommerce","1","0","Rechazar consulta de perfil sin token","0"
"0","","1","Requests al backend del Ecommerce","0","0","Validar integracion de la tasa de cambio","0"
"0","","0","Requests al backend del Ecommerce","1","0","Comparativa de productos por un principio activo existente","0"
"0","","0","Requests al backend del Ecommerce","1","0","Comparativa de productos por un principio activo inexistente","0"
